longitude,latitude,type
-7.94463,12.670608,Anarchique
-7.951271,12.675075,Anarchique
-7.961039,12.669674,Anarchique
-7.960881,12.668886,Anarchique
-7.949698,12.650324,Anarchique
-7.94966,12.649426,Anarchique
-7.94467,12.653128,Anarchique
-7.961948,12.676111,Anarchique
-7.962042,12.675735,Anarchique
-7.993072,12.658061,Autorisé
-7.973312,12.640355,Anarchique
-7.973651,12.641046,Anarchique
-7.985991,12.663967,Anarchique
-7.980556,12.637603,Anarchique
-7.973363,12.640329,Anarchique
-7.97352,12.641116,Anarchique
-7.985937,12.663918,Anarchique
-7.99185,12.650816,Anarchique
-7.98727,12.651942,Anarchique
-7.990885,12.656797,Anarchique
-7.98771,12.655303,Anarchique
-7.970913,12.653826,Anarchique
-7.971515,12.655431,Anarchique
-7.977362,12.648849,Anarchique
-7.968208,12.661003,Anarchique
-7.965775,12.65909,Anarchique
-7.96261,12.649127,Anarchique
-7.955398,12.64958,Anarchique
-7.987008,12.635483,Anarchique
-8.009429,12.646668,Autorisé
-8.011455,12.671626,Autorisé
-8.007126,12.650467,Anarchique
-8.016946,12.673747,Autorisé
-8.034418,12.660718,Anarchique
-8.038967,12.622758,Autorisé
-8.055929,12.57584,Autorisé
-8.033876,12.650535,Autorisé
-8.053657,12.627269,Autorisé
-7.992292,12.607012,Anarchique
-8.008015,12.604978,Anarchique
-7.992551,12.60558,Anarchique
-7.998188,12.594942,Anarchique
-8.006578,12.595333,Anarchique
-7.998626,12.60869,Anarchique
-8.016956,12.596422,Autorisé
-7.917471,12.603865,Anarchique
-7.917676,12.604785,Anarchique
-7.979894,12.57391,Anarchique
-7.960016,12.574741,Anarchique
-7.974691,12.611048,Anarchique
-7.965145,12.608113,Anarchique
-7.979672,12.571776,Anarchique
-7.954771,12.573439,Anarchique
-7.963216,12.609627,Anarchique
-7.94128,12.602543,Anarchique
-7.922547,12.634925,Anarchique
-7.923108,12.629967,Anarchique
-7.920243,12.610577,Anarchique
-7.961192,12.602729,Anarchique
-7.920392,12.636126,Anarchique
